date,n_stars,package
2015-06-07,1,hadley/dplyr
2015-06-08,1,hadley/dplyr
2015-06-10,1,hadley/dplyr
2015-06-12,2,hadley/dplyr
2015-06-14,2,hadley/dplyr
2015-06-15,3,hadley/dplyr
2015-06-16,2,hadley/dplyr
2015-06-17,4,hadley/dplyr
2015-06-18,2,hadley/dplyr
2015-06-21,1,hadley/dplyr
2015-06-22,2,hadley/dplyr
2015-06-23,2,hadley/dplyr
2015-06-24,1,hadley/dplyr
2015-06-25,2,hadley/dplyr
2015-06-30,1,hadley/dplyr
2015-07-02,2,hadley/dplyr
2015-07-03,4,hadley/dplyr
2015-07-04,1,hadley/dplyr
2015-07-05,2,hadley/dplyr
2015-07-06,1,hadley/dplyr
2015-07-08,4,hadley/dplyr
2015-07-09,1,hadley/dplyr
2015-07-10,2,hadley/dplyr
2015-07-11,1,hadley/dplyr
2015-07-12,1,hadley/dplyr
2015-07-13,2,hadley/dplyr
2015-07-15,2,hadley/dplyr
